CITY,LAT,LON,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Nov-15,Nov-15,Jan-16,Feb-16,Apr-16,May-16,Jun-16,Aug-16,Sep-16,Nov-16,Dec-16,Jan-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,Apr-18,May-18,Jun-18,Jul-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Dec-19,Jan-20,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Cankiri,40.59966342,33.61636771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-135,-156,-231,-259,-271,-270,-270,-277,-289,-313,-345,-372,-389,-404,-406,-431,-425,-437,-479,-501,-521,-526,-509,-512,-517,-391,-403,-420,-458,-479,-497,-521,-529,-537,-543,-546,-548,-548,-551,-546,-546,-541,-559,-560,-554,-562,-597,-617,-617,-656,-677,-683,-683,-743,-746,-761,-763,-780,-798,-797
Corum,40.55039136,34.95497358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-927,-1069,-1205,-1266,-1271,-1309,-1357,-1373,-1410,-1432,-1549,-1888,-1911,-1942,-1948,-2027,-2174,-2228,-2407,-2524,-2599,-2642,-2734,-2737,-2764,-2832,-2264,-2162,-2249,-2313,-2393,-2456,-2516,-2547,-2561,-2562,-2587,-2574,-2578,-2635,-2635,-2640,-2648,-2672,-2765,-2812,-2824,-2836,-2852,-2867,-2896,-2903,-2909,-2898,-2876,-2868,-2897,-2942,-2966,-2990
Denizli,37.78175478,29.08603546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4405,-5084,-5842,-6161,-6282,-6339,-6430,-6640,-6858,-6994,-7377,-7950,-8075,-8166,-8278,-8893,-9627,-9783,-10066,-10385,-10771,-11294,-11583,-11616,-11776,-12060,-12147,-12172,-12238,-12297,-12397,-12483,-12587,-12615,-12568,-12593,-12609,-12399,-12358,-12514,-12550,-12565,-12669,-12678,-12756,-12810,-11652,-11697,-11730,-11845,-11908,-11949,-11986,-12126,-12247,-12349,-12479,-12610,-12686,-12847
Diyarbakir,37.9136291,40.21721253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28042,-27769,-28946,-29387,-29096,-28825,-28530,-28596,-28759,-28883,-29198,-29759,-30018,-30129,-30215,-30443,-31003,-31203,-31553,-31776,-32039,-32736,-32724,-32717,-32800,-32912,-32833,-32951,-33031,-33197,-33161,-33147,-33592,-33815,-33892,-33892,-33844,-33526,-33547,-33251,-33245,-33217,-32974,-33026,-32900,-32954,-23619,-23111,-23137,-22838,-22885,-22949,-23009,-23117,-23121,-23138,-23210,-23266,-23303,-23412
Duzce,40.83947627,31.16386136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-273,-366,-390,-424,-449,-449,-471,-490,-544,-561,-574,-613,-747,-778,-780,-792,-831,-847,-943,-994,-1074,-1206,-1278,-1298,-1342,-1071,-1295,-1292,-1329,-1419,-1497,-1541,-1608,-1623,-1656,-1652,-1682,-1719,-1765,-1853,-1868,-1906,-1874,-1860,-1841,-1840,-1828,-1815,-1816,-1788,-1780,-1773,-1773,-1771,-1768,-1754,-1760,-1761,-1765,-1757
Edirne,41.67642478,26.55241246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6656,-6404,-6523,-6527,-6507,-6492,-6472,-6477,-6492,-6486,-6488,-6556,-6587,-6569,-6552,-6511,-6457,-6468,-6489,-6493,-6497,-6512,-6523,-6523,-6522,-866,-889,-908,-908,-920,-937,-954,-968,-964,-961,-965,-969,-957,-955,-1012,-1025,-1062,-1082,-1082,-1077,-1078,-1074,-1064,-1064,-1045,-1047,-1053,-1053,-1061,-1066,-1068,-1067,-1063,-1060,-1065
Elazig,38.6731315,39.22912261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3507,-4122,-4474,-4578,-4614,-4622,-4660,-4741,-4816,-4949,-5230,-5836,-5907,-5982,-6028,-6404,-6668,-6814,-7359,-7885,-8474,-10121,-10769,-10899,-11193,-11549,-11580,-11759,-11882,-12017,-12189,-12346,-12468,-12726,-12958,-13020,-13307,-13481,-13601,-13780,-13845,-13946,-14024,-14160,-14241,-14248,-13164,-13214,-13243,-13032,-11900,-11918,-11944,-11889,-11878,-11941,-11991,-12102,-12161,-12266
Erzincan,39.74846809,39.47915161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151,-161,-158,-171,-163,-167,-166,-168,-169,-170,-177,-185,-182,-183,-185,-180,-165,-159,-163,-166,-172,-171,-170,-170,-170,-83,-99,-101,-102,-105,-107,-113,-104,-107,-106,-103,-99,-99,-105,-100,-99,-101,-103,-97,-98,-100,-103,-105,-107,-106,-109,-114,-113,-113,-112,-114,-121,-120,-122,-118
Erzurum,39.90616384,41.27401458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-293,-331,-398,-438,-448,-435,-443,-467,-485,-493,-538,-678,-702,-720,-722,-738,-791,-828,-899,-923,-974,-994,-1004,-1013,-1026,-1052,-870,-961,-991,-1018,-1032,-1058,-1062,-1064,-1084,-1087,-1095,-1115,-1122,-1162,-1156,-1143,-1117,-1135,-1127,-1131,-1126,-1114,-1116,-1114,-1114,-1116,-1118,-1121,-1117,-1097,-1108,-1113,-1127,-1138
Eskisehir,39.76763184,30.51334217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-494,-848,-1225,-1554,-1670,-1718,-1770,-1815,-1927,-1997,-2085,-2500,-2526,-2569,-2586,-2694,-3172,-3254,-3532,-3639,-3847,-3952,-4040,-4054,-4098,-4260,-3131,-3282,-3327,-3655,-3909,-4096,-4179,-4335,-4434,-4484,-4541,-4535,-4633,-4768,-4845,-4933,-4989,-5070,-5134,-5163,-5215,-5239,-5245,-5235,-5269,-5370,-5386,-5405,-5390,-5400,-5370,-5408,-5460,-5468
