CITY,LAT,LON,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Nov-15,Nov-15,Jan-16,Feb-16,Apr-16,May-16,Jun-16,Aug-16,Sep-16,Nov-16,Dec-16,Jan-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,Apr-18,May-18,Jun-18,Jul-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Dec-19,Jan-20,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Siirt,42.02687076,35.15196451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2594,-2684,-2771,-2839,-2844,-2811,-2801,-2887,-3063,-3119,-3229,-3372,-3394,-3417,-3417,-3439,-3447,-3467,-3583,-3735,-3939,-4488,-4516,-4514,-4492,-4522,-3808,-3656,-3525,-3604,-3671,-3820,-3902,-3912,-3924,-3944,-3966,-3989,-4034,-4137,-4084,-4094,-4067,-4154,-4208,-4216,-4220,-4226,-4226,-4221,-4221,-4241,-4253,-4290,-4294,-4303,-4346,-4392,-4446,-4424
Sinop,39.75028773,37.01579997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,-52,-59,-64,-71,-68,-67,-67,-68,-69,-71,-82,-81,-82,-82,-84,-86,-88,-111,-113,-120,-129,-128,-127,-118,-96,-104,-107,-111,-114,-120,-122,-119,-123,-125,-126,-131,-128,-128,-142,-146,-141,-149,-164,-172,-171,-170,-173,-175,-180,-196,-197,-197,-197,-197,-192,-192,-193,-200,-208
Sirnak,37.15359456,38.78603793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16748,-14436,-14601,-14838,-14740,-14567,-14483,-14447,-14357,-14317,-14338,-14403,-14671,-14885,-14908,-15098,-14939,-14864,-14828,-14860,-14897,-14873,-14840,-14831,-14818,-14937,-14932,-14929,-14929,-15020,-15168,-15180,-15268,-15325,-15353,-15363,-15373,-15062,-15016,-15013,-15019,-15036,-15023,-15017,-15012,-15003,-14997,-14984,-14991,-14968,-14974,-14969,-14976,-14980,-14958,-14956,-14994,-14996,-14997,-14997
Sivas,37.52225849,42.45675607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-765,-974,-1193,-1251,-1389,-1466,-1546,-1704,-1911,-2063,-2216,-2540,-2564,-2622,-2667,-2829,-3770,-3822,-3950,-4030,-4117,-4321,-4345,-4346,-4357,-3144,-3423,-4027,-3684,-3735,-3767,-3804,-3904,-3944,-3977,-3987,-4016,-3988,-3982,-4094,-4097,-4063,-4050,-4049,-3712,-3585,-3594,-3559,-3561,-3532,-3534,-3552,-3558,-3546,-3529,-3514,-3535,-3551,-3561,-3556
Tekirdag,40.97555584,27.50939091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3810,-4385,-4962,-5331,-5282,-5312,-5350,-5473,-5607,-5703,-5973,-6461,-6709,-6904,-7010,-7176,-7628,-7827,-8169,-8613,-8838,-9574,-9907,-10004,-10168,-10492,-10578,-10607,-10675,-10766,-10865,-11670,-12263,-12818,-13315,-13421,-13702,-13747,-13986,-14403,-14438,-14565,-14664,-14502,-14373,-14366,-12859,-12734,-12755,-12590,-12584,-12594,-12603,-12611,-12572,-12558,-12511,-12498,-12465,-12482
Tokat,40.31414501,36.55247373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-334,-491,-553,-602,-643,-670,-694,-678,-741,-779,-811,-874,-870,-870,-870,-873,-920,-946,-1008,-1058,-1071,-1087,-1094,-1093,-1098,-1108,-915,-952,-966,-989,-997,-983,-990,-992,-992,-1010,-983,-1007,-1004,-1011,-1021,-1022,-1015,-1028,-1033,-1037,-1046,-1047,-1051,-1046,-1051,-1049,-1050,-1048,-1033,-1031,-1035,-1048,-1068,-1075
Trabzon,41.00312506,39.70216635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1080,-1308,-1460,-1557,-1653,-1697,-1748,-1781,-1904,-1968,-2084,-2186,-2318,-2336,-2349,-2366,-2554,-2574,-2646,-2720,-2772,-2971,-3000,-3012,-3047,-3110,-2532,-2608,-2685,-2752,-2801,-2942,-3011,-3042,-3077,-3080,-3102,-3102,-3142,-3236,-3244,-3272,-3305,-3295,-3334,-3355,-3365,-3355,-3361,-3370,-3391,-3400,-3407,-3444,-3422,-3406,-3398,-3405,-3429,-3467
Tunceli,39.10720683,39.54622318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-85,-94,-95,-97,-94,-91,-89,-89,-88,-90,-89,-96,-98,-98,-107,-104,-103,-105,-110,-99,-98,-91,-91,-87,-45,-44,-44,-44,-48,-49,-51,-49,-58,-57,-57,-59,-60,-60,-55,-54,-54,-54,-57,-46,-46,-45,-44,-44,-42,-43,-43,-43,-37,-37,-38,-37,-38,-38,-38
Usak,38.67029295,29.40225099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-823,-982,-1052,-1069,-1055,-1103,-1121,-1132,-1185,-1205,-1222,-1317,-1462,-1527,-1527,-1763,-1881,-1932,-2032,-2169,-2230,-2343,-2389,-2412,-2474,-2594,-2150,-2050,-2091,-2190,-2221,-2248,-2300,-2276,-2326,-2340,-2344,-2324,-2318,-2337,-2341,-2371,-2390,-2443,-2479,-2482,-2497,-2490,-2493,-2505,-2505,-2496,-2504,-2509,-2485,-2490,-2530,-2603,-2629,-2649
Van,38.5016373,43.39540891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1372,-1404,-1510,-1549,-1556,-1504,-1520,-1532,-1587,-1601,-1645,-1848,-2104,-2285,-2306,-2483,-2651,-2689,-2778,-2849,-2873,-2881,-2906,-2908,-2902,-2893,-1784,-1796,-1862,-1945,-1999,-2059,-2102,-2091,-2126,-2130,-2136,-2129,-2141,-2132,-2136,-2144,-2153,-2167,-2161,-2174,-2178,-2183,-2193,-2198,-2222,-2227,-2230,-2266,-2240,-2226,-2248,-2246,-2241,-2246
Yalova,40.65554242,29.27108119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1839,-2154,-2337,-2475,-2450,-2435,-2442,-2517,-2574,-2601,-2703,-2883,-2930,-2951,-2985,-3103,-3258,-3279,-3366,-3527,-3647,-3733,-3799,-3807,-3844,-3882,-3313,-2794,-2807,-2946,-3102,-3242,-3393,-3482,-3548,-3554,-3627,-3663,-3723,-3769,-3782,-3863,-3912,-3899,-3891,-3885,-3881,-3887,-3879,-3852,-3858,-3865,-3868,-3889,-3900,-3877,-3885,-3892,-3893,-3902
Yozgat,39.82322197,34.80762324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1861,-2350,-2649,-2779,-2777,-2714,-2761,-2776,-2851,-2910,-3036,-3352,-3357,-3369,-3370,-3419,-3640,-3711,-3863,-4043,-4225,-4436,-4471,-4465,-4475,-4543,-3051,-3054,-3164,-3338,-3858,-3998,-4108,-4135,-4182,-4183,-4272,-4279,-4304,-4473,-4472,-4512,-4565,-4671,-4742,-4782,-4784,-4813,-4824,-4797,-4829,-4836,-4854,-4906,-4934,-4944,-4959,-4984,-4996,-5022
Zonguldak,41.45203209,31.7819154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-158,-235,-276,-295,-289,-292,-306,-300,-292,-299,-316,-330,-348,-354,-354,-354,-359,-358,-366,-379,-423,-440,-464,-466,-466,-316,-324,-329,-372,-422,-464,-489,-514,-528,-541,-541,-554,-560,-571,-591,-588,-597,-599,-613,-621,-623,-623,-621,-623,-621,-635,-634,-632,-634,-651,-649,-652,-661,-676,-681
"Adiyaman Camp, Adiyaman",37.541365,38.228537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2369,5690,6500,9163,9984,10027,9920,10056,10400,10072,10013,10014,10020,10242,10084,9851,9994,9910,9910,9910,9804,9959,9959,9959,9971,9918,10056,10079,9726,9856,9897,9897,9897,9897,9897,9897,9897,9897,9897,9897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akcakale Camp, Sanliurfa",36.752805,38.949157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,11566,14312,20882,26499,30726,32553,34485,32925,33478,31053,28714,25117,26527,27527,26466,25140,25235,25391,25391,25391,25312,24687,24687,24687,26055,26230,26748,27174,27269,27349,27323,27323,27323,27323,27323,27323,27323,27323,27323,27323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Altinozu Boynuyogun, Hatay",36.184921,36.366133,0,0,0,0,0,1729,1734,1682,1982,1954,1960,2311,2390,2419,2475,2391,2435,2495,2750,2077,2077,1954,1960,1960,2390,2419,2475,1960,1960,1960,2499,2749,2801,2749,2698,2621,2621,2621,2601,2634,2634,2634,2596,2591,2604,2605,2660,2716,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Altinozu Tekel, Hatay",36.130066,36.238039,0,0,0,0,0,1379,1210,1211,1225,1427,1385,1471,1512,1536,1469,1394,1410,1488,1576,1427,1427,1427,1388,1388,1512,1536,1469,1394,1410,1488,1576,1518,1566,1563,1469,1483,1483,1483,1394,1404,1404,1404,1390,1374,1382,1392,1390,1397,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apaydin, Hatay",36.235081,36.352589,0,0,0,0,0,2779,3308,3444,3295,3419,4062,4269,4477,4685,4630,4522,4951,4765,4766,3444,3295,3419,4062,4057,4477,4685,4630,4057,4057,4057,4805,4805,4805,4805,5098,4984,4984,4984,4804,5082,5082,5082,4605,5046,5153,5126,5144,5129,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceylanpinar Camp, Sanliurfa",36.818525,39.926754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9653,13337,16603,19107,19198,29080,34613,38239,40818,43165,44547,45450,40452,35936,28324,23707,24878,20865,20524,20536,21694,21694,21694,20466,19299,19299,19299,18533,19036,19736,20305,20185,20006,19739,19739,19739,19739,19739,19739,19739,19739,19739,19739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Derik Camp, Mardin",37.363319,40.266748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,2429,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harran Kokenli Container City, Sanliurfa",36.857791,39.021093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3003,11925,12342,12598,12730,13294,13362,13484,13584,13861,14074,14278,14195,12784,12784,12784,14340,14310,14310,14310,14265,13953,14045,14064,14015,14033,13782,13782,13782,13782,13782,13782,13782,13782,13782,13782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kahramanmaras Camp, Kahramanmaras",37.56392,36.97095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11848,14851,15540,16935,16739,16739,15972,15547,15356,15105,15143,14961,14985,14955,15124,15060,15452,15515,15515,15515,16423,16777,16777,16777,17160,17244,17291,17421,17510,17284,17266,17266,17266,17266,17266,17266,17266,17266,17266,17266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karkamis, Gaziantep",36.877097,38.026887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3108,6471,6754,6365,7016,7033,7683,8185,8005,8106,7447,7427,7440,7367,7419,7673,7787,7789,7669,7669,7669,7562,7534,7534,7534,7641,7639,7690,7687,7268,7220,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilis Transit Center,36.88,37.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malatya Camp, Malatya",38.33955,38.1516829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3419,5781,6491,6609,7088,7114,7205,7250,7183,7183,7183,7302,7453,7453,7453,7425,7411,7537,7736,7684,7670,7660,7660,7660,7660,7660,7660,7660,7660,7660,7660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Midyat Camp, Mardin",37.414429,41.406834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3216,3244,3244,3244,2881,2889,2889,2889,2900,2872,2894,2932,3014,3024,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nizip 2, Gaziantep",37.042958,37.903425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,3137,4958,4820,5086,5166,5164,5138,5104,5093,5124,5190,5215,5215,5215,5161,5161,5161,5161,5066,5045,5058,5083,5063,5073,5020,5020,5020,5020,5020,5020,5020,5020,5020,5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nizip, Gaziantep",37.045096,37.8884549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6065,8798,10541,19096,13622,9944,10147,10612,10655,10797,11087,11249,11530,11624,11128,11167,11144,11144,11144,10766,10599,10599,10599,10730,10617,10678,10744,10545,10636,10616,10616,10616,10616,10616,10616,10616,10616,10616,10616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nusaybin Camp, Mardin",37.129665,41.184997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,2365,2237,2913,3035,3107,3169,2107,3274,3274,3274,5096,5058,5058,5058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oncupinar Camp, Kilis",36.650265,37.087379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10960,12032,12273,12938,12826,13731,13433,13556,13544,13398,13351,13478,13565,13614,13804,13953,14001,14037,14067,14032,14060,14060,14060,13988,13740,13740,13740,13475,13440,13298,13160,13046,12762,12605,12605,12605,12605,12605,12605,12605,12605,12605,12605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Osmaniye Camp, Osmaniye",37.08738,36.206913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6660,8530,7899,8297,7886,7939,7726,7703,7940,7941,8220,8564,8687,8739,8857,9098,9375,9278,9278,9278,9306,8835,8835,8835,7358,7478,7641,9105,9200,9213,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saricam, Adana",37.0019,35.5273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4863,8897,9253,9540,9731,10251,10279,10212,9945,11854,11847,11804,11728,11728,11728,11510,11391,11391,11391,11232,11135,11114,11134,11005,11006,10988,10988,10988,10988,10988,10988,10988,10988,10988,10988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suruc Camp, Sanliurfa",37.045,38.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4839,15114,21019,21019,21019,21019,21019,21019,21019,21019,21019,21019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viransehir Camp, Sanliurfa",36.932683,40.023866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7811,10188,12537,12537,12537,12415,12326,12326,12326,20165,20034,19282,18910,18647,18110,17410,17410,17410,17410,17410,17410,17410,17410,17410,17410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yayladagi Tekel, Hatay",35.905803,36.048908,0,0,0,0,0,2498,2609,2706,2666,2750,2809,2855,2926,2926,2981,3027,3097,3240,3227,2259,2259,2686,2749,2823,2926,2926,2981,3027,3097,3240,3227,3258,2770,2769,2775,2785,2785,2785,2800,2800,2800,2800,2808,2815,2825,2833,2795,2830,2833,2833,2833,2833,2833,2833,2833,2833,2833,2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yayladagi Yibo, Hatay",35.907401,36.053859,0,0,0,0,0,2823,2964,3159,3343,3347,3395,3436,3470,3486,3499,3504,3516,3524,3531,2805,2805,3347,3351,3405,3470,3486,3499,3504,3516,3524,3531,3476,2921,2913,2905,2917,2917,2917,2940,2960,2960,2960,3001,3003,3009,3021,3038,3050,3062,3062,3062,3062,3062,3062,3062,3062,3062,3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yayladagi, Hatay",35.90346,36.066599,0,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elbeyli Camp, Kilis",36.712723,37.455127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13565,13614,13804,13953,14001,14037,14067,23242,23438,23438,23438,23701,23995,23995,23995,24174,24161,24207,24245,24331,24307,24297,24297,24297,24297,24297,24297,24297,24297,24297,24297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Islahiye 2, Gaziantep",36.933755,36.570628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7669,7669,7669,0,0,0,0,0,0,0,2309,8543,8871,9628,9628,9628,9628,9628,9628,9628,9628,9628,9628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Islahiye, Gaziantep",36.98677,36.616805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5886,7502,8206,7805,8206,8467,8600,8739,8975,8880,8511,8830,9000,9061,9159,9360,9664,9718,9779,10036,9996,9996,9996,9906,9977,9977,9977,10055,9886,9945,10009,9642,9457,9418,9418,9418,9418,9418,9418,9418,9418,9418,9418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
